,Y_after,Y_before,OverallRating,Workload(hours),Recommend,InstructorOverall,Accessiblity,Requirment,Comment Rate1,Comment Rate 2,Comment Rate 3
AM101(F2015),39,21,3.6,8.9,3.8,4.3,4.5,,,,
AM104,21,25,3.9,5.4,4,4.4,4.6,,,,
AM115,31,36,3.7,4.9,3.7,4.2,4.2,,,,
AM121,61,73,3.8,10.3,3.8,4,4.1,,,,
AM140R,22,14,11,2.6,4.6,4.5,4.9,,,,
AM 203,12,17,4.6,10.4,4.5,4.5,4.3,,,,
AM 205,64,25,4.3,12,20,4.4,4.6,,,,
AM 21A,152,169,3.8,7.7,4,3.4,4.3,,,,
AM 254,10,11,4.4,11.2,4.2,4.7,4.8,,,,
AM 105,67,112,3.5,8.1,3.6,3.8,4.1,,,,
AM 106,9,31,3.7,6.6,3.9,4.2,4.3,,,,
AM 107,23,17,3,7.6,3.2,2.8,2.5,,,,
AM 111,7,10,3.1,7.9,3.4,3.6,4,,,,
AM 115,30,31,4.1,5.3,4,4.3,4.7,,,,
AM 120,108,53,4.3,7.1,4.3,4.3,4.4,,,,
AM 126,7,10,4.9,8.3,4.7,4.7,4.8,,,,
AM 141R,80,27,4.7,3.2,4.6,4.5,4.9,,,,
AM 207,61,60,2.8,13.6,3,2.5,3.4,,,,
AM 21B,79,104,2.8,9.9,3.2,2.9,3.6,,,,
AM 50,25,37,4.2,5.3,4.3,4.2,4.7,,,,
