Class,Y_after (y1),Y_before (y2),OverallRating,Workload(hours),Recommend,InstructorOverall,Accessiblity,Elective,Requirement
CS 50,667,750,3.5,15.2,3.6,3.7,3,0.47,0.8
ER 18 ('12 - '13),723,527,4,1.6,4.2,4.5,4.5,0.11,0.98
Ec 10a,650,703,3.3,6.4,3.6,3.2,2.9,0.23,1.24
Ec 10b,572,576,3.3,6.1,3.6,3.2,3,0.26,1.17
Stat 110,471,444,4.3,10.6,4.2,4.4,4.2,0.31,0.87
CS 51,348,279,3.9,13.3,4.1,3.9,3.4,0.15,1.02
Gov 20,186,87,3.7,7.2,3.7,3.6,4,0.3,1.19
ES 51,40,32,3.9,11.9,4,3.9,4.4,0.31,0.86
US 35,143,74,4.6,5.1,4.6,4.7,4.9,0.38,0.8
LS 1a,403,432,3.7,6.2,3.9,4.3,4.4,0.1,1.74
LS 1b,403,398,3.5,6.2,3.6,4.5,4.6,0.07,1.59
