Class,Y_after (y1),Y_before (y2),OverallRating,Workload(hours),Recommend,InstructorOverall,Accessiblity,Elective,Requirement,Assignments,Feedback,Section,,,,,,,,,,,,,
CS 50,667,750,3.5,15.2,3.6,3.7,3,0.47,0.8,3.4,3.4,3.6,,,,,,,,,,,,,
Ec 10a,650,703,3.3,6.4,3.6,3.2,2.9,0.23,1.24,3.3,3.2,3.7,,,,,,,,,,,,,
Ec 10b,572,576,3.3,6.1,3.6,3.2,3,0.26,1.17,3.3,3.5,3.9,,,,,,,,,,,,,
Stat 110,471,444,4.3,10.6,4.2,4.4,4.2,0.31,0.87,4.2,3.5,4,,,,,,,,,,,,,
CS 51,348,279,3.9,13.3,4.1,3.9,3.4,0.15,1.02,3.9,3.2,3.7,,,,,,,,,,,,,
ES 51,40,32,3.9,11.9,4,3.9,4.4,0.31,0.86,3.5,3.9,4.6,,,,,,,,,,,,,
US 35,143,74,4.6,5.1,4.6,4.7,4.9,0.38,0.8,4.1,4.4,4.7,,,,,,,,,,,,,
LS 1a,403,432,3.7,6.2,3.9,4.3,4.4,0.1,1.74,3.8,3.7,4,,,,,,,,,,,,,
LS 1b,403,398,3.5,6.2,3.6,4.5,4.6,0.07,1.59,3.5,3.3,3.7,,,,,,,,,,,,,
Physics 16,46,24,3.9,12.8,4.1,3.6,3.9,0.29,1.05,4,3.1,4.7,,,,,,,,,,,,,
PS 12b,81,90,3.3,8.7,3.5,3.3,3.6,0.04,1.22,3.5,3.2,3.3,,,,,,,,,,,,,
MCB 60,140,160,3.6,7.4,3.8,4.2,3.9,0.04,1.51,3.6,3.7,3.9,,,,,,,,,,,,,
Phil 19 ('14 - '16),41,19,4.4,3.5,4.4,4.3,4.4,0.69,0.44,4.4,3.9,4.6,,,,,,,,,,,,,
Stat 104,336,324,3.8,5.2,4.1,4.3,4.1,0.24,1.07,3.9,3.4,3.6,,,,,,,,,,,,,
Psych 1503,146,86,4.3,2.7,4.4,4.5,4.3,0.38,0.77,4.5,4.2,4,,,,,,,,,,,,,
Social Stud 10b,102,69,4.2,8.6,4.3,3.9,4.2,0.06,0.98,4.2,4.5,4.6,,,,,,,,,,,,,
Sociology 121,73,48,4.4,4.2,4.5,4.5,4.9,0.78,0.47,4.2,4.4,4.3,,,,,,,,,,,,,
Hist 1217,20,10,4.6,5.8,4.8,4.6,4.4,0.75,0.5,4.2,3.9,4,,,,,,,,,,,,,
SW 40,7,24,3.2,4.4,3.4,3.6,3.3,0.29,0.82,3.6,3.6,3.4,,,,,,,,,,,,,
USW 34,158,124,4.4,3.7,4.5,4.7,4.4,0.24,1.01,4.3,4.4,4.4,,,,,,,,,,,,,
Gov 10,106,48,4.1,5.7,4.3,4.4,4.3,0.18,1.11,4,4.1,4.1,,,,,,,,,,,,,
PS 12a,72,79,3.9,7.6,4,4.2,4,0.07,1.22,4.1,3.8,3.9,,,,,,,,,,,,,
Astron 16,37,24,4.6,5.4,4.6,4.5,4.5,0.47,1,4.5,4.1,4.8,,,,,,,,,,,,,
Math 1B,156,159,3.7,8.9,3.8,4.5,4.4,0.15,1.26,3.8,3.6,4.1,,,,,,,,,,,,,
CS 124,214,170,3.9,14.9,3.9,3.8,3.5,0.22,0.87,3.9,3.1,3.6,,,,,,,,,,,,,
MCB 80,104,154,3.2,4.6,3.3,4,4.1,0.24,1.02,3.3,3.2,3.5,,,,,,,,,,,,,
SLS 20,68,197,3.6,4.5,3.6,3.9,3.6,0.3,1,3.5,4.1,4.2,,,,,,,,,,,,,
Music 2,106,111,4.5,3.4,4.5,4.4,4.4,0.46,0.67,4.5,4.7,4.6,,,,,,,,,,,,,
Chem 27,243,258,3.2,9.1,3.2,3.3,3.7,0.02,1.47,3.3,3.6,3.9,,,,,,,,,,,,,
Gov 50,52,79,3,4.7,3.3,3.2,3.2,0.07,1.23,3.4,3.5,4.1,,,,,,,,,,,,,
PS 3,211,176,3.6,7.1,3.6,4.2,4.3,0.02,1.32,3.8,3.5,3.2,,,,,,,,,,,,,
HIST 1602,32,23,4.5,4.6,4.7,4.4,4.3,0.67,0.47,4.6,4.4,4.9,,,,,,,,,,,,,
SLS 19,346,253,3.6,3.4,3.9,4.1,3.9,0.2,0.81,3.7,3.7,4.1,,,,,,,,,,,,,
